Bat ID,Bat Species,Date Captured,Site ID,Reproductive Condition,Age,Sex,Forearm Length,Wing Score,Mass (prior resp),Before Fat,Before Lean,Before Free Water,Before Total Water,After Fat,After Lean,After Free Water,After Total Water,Comments
MYEV53,Myotis evotis,27/09/2017,LCC,Scrotal,Adult,Male,38.2,1,8.1,1.96,4.09,0.05,3.64,,,,,mean = 14.65; stdev = 0.16
MYEV54,Myotis evotis,27/09/2017,LCC,Scrotal,Adult,Male,38.3,1,7.6,1.21,3.65,0.14,3.34,,,,,mean = 14.65; stdev = 0.16
MYEV55,Myotis evotis,27/09/2017,LCC,Non-reproducing,Adult,Male,38.1,1,7.8,2.25,4.31,0.2,3.64,,,,,mean = 14.65; stdev = 0.16
MYEV56,Myotis evotis,27/09/2017,LCC,Scrotal,Adult,Male,38,1,7.5,1.57,3.4,0.06,3.32,,,,,mean = 14.65; stdev = 0.16
MYEV57,Myotis evotis,27/09/2017,LCC,Non-reproducing,Adult,Female,40.3,1,7.5,1.82,3.87,0.06,3.35,,,,,mean = 14.65; stdev = 0.16
MYEV58,Myotis evotis,27/09/2017,LCC,Scrotal,Adult,Male,36.3,1,7.2,1.84,4.54,0.21,3.97,,,,,mean = 14.65; stdev = 0.16
MYEV59,Myotis evotis,27/09/2017,LCC,Scrotal,Adult,Male,38,0,7.9,2,3.8,0.06,3.26,,,,,mean = 14.65; stdev = 0.16
MYEV60,Myotis evotis,27/09/2017,LCC,Non-reproducing,Adult,Male,39,0,7.7,2.01,3.6,0,3.14,,,,,mean = 14.65; stdev = 0.16
MYEV61,Myotis evotis,27/09/2017,LCC,Scrotal,Adult,Male,37.3,1,7,1.81,4.37,0,3.66,,,,,mean = 14.65; stdev = 0.16
MYEV62,Myotis evotis,27/09/2017,LCC,Scrotal,Adult,Male,37.1,1,6.9,1.44,3.5,0.12,3.09,,,,,mean = 14.65; stdev = 0.16
MYEV63,Myotis evotis,27/09/2017,LCC,Scrotal,Adult,Male,39.3,1,7.1,1.15,3.6,0,2.6,,,,,mean = 14.65; stdev = 0.16
MYEV64,Myotis evotis,27/09/2017,LCC,Scrotal,Adult,Male,39.2,1,8,1.98,5.02,0.17,4.49,,,,,mean = 14.65; stdev = 0.16
MYEV65,Myotis evotis,27/09/2017,LCC,Scrotal,Adult,Male,37.6,1,7.1,1.84,4.42,0.16,3.89,,,,,mean = 14.65; stdev = 0.16
MYEV66,Myotis evotis,27/09/2017,LCC,Scrotal,Adult,Male,39.5,1,8.2,1.935,3.56,0,3.09,,,,,mean = 14.65; stdev = 0.16
MYEV67,Myotis evotis,27/09/2017,LCC,Scrotal,Adult,Male,38.5,1,7.6,1.73,5.09,0.2,4.36,,,,,mean = 14.65; stdev = 0.16
MYEV68,Myotis evotis,27/09/2017,LCC,Scrotal,Adult,Male,38.3,1,7.7,2.18,4.62,0,4.03,,,,,mean = 14.65; stdev = 0.16
MYEV69,Myotis evotis,27/09/2017,LCC,Scrotal,Adult,Male,38.1,1,7.4,0.84,1.57,0.07,2.55,,,,,mean = 14.65; stdev = 0.16
MYEV70,Myotis evotis,27/09/2017,LCC,Scrotal,Adult,Male,39.5,1,7.7,1.72,3.89,0,3.27,,,,,mean = 14.65; stdev = 0.16
MYEV71,Myotis evotis,27/09/2017,LCC,Scrotal,Adult,Male,38.9,1,7.6,1.67,5.04,0.18,4.71,,,,,mean = 14.65; stdev = 0.16
MYEV72,Myotis evotis,27/09/2017,LCC,Scrotal,Adult,Male,37.1,1,7.4,1.6,3.53,0.07,2.73,,,,,mean = 14.65; stdev = 0.16
MYEV73,Myotis evotis,27/09/2017,LCC,Scrotal,Adult,Male,37.1,1,7.7,2.17,4.72,0,4.36,,,,,mean = 14.65; stdev = 0.16
MYEV74,Myotis evotis,27/09/2017,LCC,Non-reproducing,Adult,Male,38.1,2,7.1,1.83,3.81,0,3.51,,,,,mean = 14.65; stdev = 0.16
MYEV75,Myotis evotis,27/09/2017,LCC,Scrotal,Adult,Male,39.2,1,8,1.98,5.24,0.08,4.3,,,,,mean = 14.65; stdev = 0.16
MYEV76,Myotis evotis,27/09/2017,LCC,Scrotal,Adult,Male,36.1,1,6.8,1.29,3.63,0.1,3.17,,,,,mean = 14.65; stdev = 0.16
MYEV79,Myotis evotis,27/09/2017,LCC,Scrotal,Adult,Male,38.1,1,7.6,2.01,4.91,0,4.15,,,,,mean = 14.65; stdev = 0.16
MYEV80,Myotis evotis,27/09/2017,LCC,Scrotal,Adult,Male,37.2,1,6.6,1.54,4.22,0.08,4.01,,,,,mean = 14.65; stdev = 0.16
MYEV81,Myotis evotis,27/09/2017,LCC,Scrotal,Adult,Male,36.9,1,6.9,1.36,3.89,0,3.47,,,,,mean = 14.65; stdev = 0.16
MYEV82,Myotis evotis,27/09/2017,LCC,Scrotal,Adult,Male,38.1,1,7.7,1.65,4.47,0,3.84,,,,,mean = 14.65; stdev = 0.16
MYEV83,Myotis evotis,27/09/2017,LCC,Scrotal,Adult,Male,38.7,1,8,2.03,5.18,0.05,4.58,,,,,mean = 14.65; stdev = 0.16
MYEV84,Myotis evotis,28/09/2017,LCC,Scrotal,Adult,Male,36.7,1,7.3,2.27,4.29,0,1.66,,,,,mean = 14.58; stdev = 0.11
MYEV85,Myotis evotis,28/09/2017,LCC,Scrotal,Adult,Male,40.1,1,8.6,2.29,5.47,0.02,2.26,,,,,mean = 14.58; stdev = 0.11
MYEV86,Myotis evotis,28/09/2017,LCC,Non-reproducing,Young of the Year,Female,39.2,1,7.2,1.69,3.66,0.53,2.31,,,,,mean = 14.58; stdev = 0.11
MYEV87,Myotis evotis,28/09/2017,LCC,Scrotal,Adult,Male,38.4,1,7.1,1.81,4.45,0,3.89,,,,,mean = 14.58; stdev = 0.11
MYEV88,Myotis evotis,28/09/2017,LCC,Scrotal,Adult,Male,38.9,1,7.6,1.99,4.74,0.11,4.15,,,,,mean = 14.58; stdev = 0.11
MYEV89,Myotis evotis,28/09/2017,LCC,Scrotal,Adult,Male,38.6,1,8.8,2.34,5.68,0.12,4.37,,,,,mean = 14.58; stdev = 0.11
MYEV90,Myotis evotis,28/09/2017,LCC,Scrotal,Adult,Male,38.2,1,8.2,2.12,3.74,0,2.99,,,,,mean = 14.58; stdev = 0.11
MYEV91,Myotis evotis,28/09/2017,LCC,Scrotal,Adult,Male,38,1,7.8,1.65,3.82,0,2.92,,,,,mean = 14.58; stdev = 0.11
MYEV92,Myotis evotis,28/09/2017,LCC,Scrotal,Adult,Male,38.2,1,7.6,2.22,4.68,0,0,,,,,mean = 14.58; stdev = 0.11
MYEV93,Myotis evotis,28/09/2017,LCC,Scrotal,Adult,Male,38.4,1,7.5,1.95,3.41,0,2.96,,,,,mean = 14.58; stdev = 0.11
MYEV94,Myotis evotis,28/09/2017,LCC,Scrotal,Adult,Male,38.1,1,8.3,2.16,5.13,0,1.86,,,,,mean = 14.58; stdev = 0.11
MYEV95,Myotis evotis,28/09/2017,LCC,Scrotal,Adult,Male,37.4,1,6.4,1.01,4.61,0,2.43,,,,,mean = 14.58; stdev = 0.11
MYEV96,Myotis evotis,28/09/2017,LCC,Scrotal,Adult,Male,38.2,1,7,1.38,4.03,0,3.09,,,,,mean = 14.58; stdev = 0.11
MYEV97,Myotis evotis,28/09/2017,LCC,Scrotal,Adult,Male,38.4,1,8.4,1.39,4.4,0.11,3.81,,,,,mean = 14.58; stdev = 0.11
MYEV98,Myotis evotis,28/09/2017,LCC,Non-reproducing,Adult,Male,38.4,1,8.1,2.16,3.83,0.03,3.09,,,,,mean = 14.58; stdev = 0.11
MYEV99,Myotis evotis,28/09/2017,LCC,Non-reproducing,Adult,Male,36.1,1,7.6,2.13,4.68,0.11,4.22,,,,,mean = 14.58; stdev = 0.11
MYEV100,Myotis evotis,28/09/2017,LCC,Scrotal,Adult,Male,39.7,1,8.3,2.27,3.53,0,0.94,,,,,mean = 14.58; stdev = 0.11
MYEV101,Myotis evotis,28/09/2017,LCC,Scrotal,Adult,Male,37.6,1,8,1.49,3.74,0,2.92,,,,,mean = 14.58; stdev = 0.11
MYEV102,Myotis evotis,28/09/2017,LCC,Scrotal,Adult,Male,37.6,1,7.8,2.15,4.75,0.01,4.14,,,,,mean = 14.58; stdev = 0.11
MYEV103,Myotis evotis,28/09/2017,LCC,Non-reproducing,Young of the Year,Male,36.1,1,7.2,2.41,4.06,0.06,1.81,,,,,mean = 14.58; stdev = 0.11
MYEV104,Myotis evotis,28/09/2017,LCC,Scrotal,Adult,Male,39.1,1,8.1,2.13,3.65,0.15,3.24,,,,,mean = 14.58; stdev = 0.11
MYEV105,Myotis evotis,28/09/2017,LCC,Scrotal,Adult,Male,38.4,1,7.5,1.68,3.92,0,2.99,,,,,mean = 14.58; stdev = 0.11
MYEV106,Myotis evotis,28/09/2017,LCC,Non-reproducing,Adult,Male,39.4,2,8.2,1.98,2.89,0.15,2.32,,,,,mean = 14.58; stdev = 0.11
MYLU20,Myotis lucifugus,18/09/2017,LCC,Non-reproducing,Young of the Year,Male,36.9,1,7.2,1.37,3.15,0,2.6,,,,,mean= 14.6; stdev = 0.11
MYLU21,Myotis lucifugus,18/09/2017,LCC,Non-reproducing,Adult,Male,38.2,1,7.2,1.44,4.59,0.34,4.03,,,,,mean= 14.6; stdev = 0.11
MYLU22,Myotis lucifugus,18/09/2017,LCC,Scrotal,Adult,Male,37.2,1,7.6,0.97,3.02,0.275,1.575,,,,,mean= 14.6; stdev = 0.11
MYLU23,Myotis lucifugus,18/09/2017,LCC,Scrotal,Adult,Male,37.6,1,7.9,0.6,3.135,0.265,2.68,,,,,mean= 14.6; stdev = 0.11
MYLU24,Myotis lucifugus,18/09/2017,LCC,Scrotal,Adult,Male,35.4,1,6.4,1.38,5.34,0.02,4.78,,,,,mean= 14.6; stdev = 0.11
MYLU25,Myotis lucifugus,18/09/2017,LCC,Non-reproducing,Adult,Male,37.9,1,8.6,1.88,3.56,0,3.11,,,,,mean= 14.6; stdev = 0.11
MYLU26,Myotis lucifugus,18/09/2017,LCC,Non-reproducing,Adult,Male,38.4,2,9.1,2.69,5.59,0.29,4.6,,,,,mean= 14.6; stdev = 0.11
MYLU46,Myotis lucifugus,27/09/2017,LCC,Non-reproducing,Young of the Year,Male,37,0,7.3,1.76,4.57,0.08,4.22,,,,,mean = 14.65; stdev = 0.16
MYLU47,Myotis lucifugus,27/09/2017,LCC,Non-reproducing,Adult,Female,36.5,1,6.4,0.96,3.43,0.06,3.17,,,,,mean = 14.65; stdev = 0.16
MYLU48,Myotis lucifugus,27/09/2017,LCC,Scrotal,Young of the Year,Male,39,0,7.4,1.52,4,0,3.52,,,,,mean = 14.65; stdev = 0.16
MYLU49,Myotis lucifugus,27/09/2017,LCC,Non-reproducing,Adult,Male,37.2,1,7.7,1.69,5.08,0,4.63,,,,,mean = 14.65; stdev = 0.16
MYLU50,Myotis lucifugus,27/09/2017,LCC,Scrotal,Adult,Male,36.5,1,7.9,2.19,4.86,0,4.03,,,,,mean = 14.65; stdev = 0.16
MYLU51,Myotis lucifugus,27/09/2017,LCC,Scrotal,Adult,Male,38.1,1,6.9,0.93,5.1,0,4.54,,,,,mean = 14.65; stdev = 0.16
MYLU52,Myotis lucifugus,27/09/2017,LCC,Non-reproducing,Adult,Male,38.2,1,9.7,3.17,4.69,0,4.12,,,,,mean = 14.65; stdev = 0.16
MYLU53,Myotis lucifugus,27/09/2017,LCC,Scrotal,Adult,Male,37.1,1,9.7,2.8,4.6,0.15,4.19,,,,,mean = 14.65; stdev = 0.16
MYLU54,Myotis lucifugus,27/09/2017,LCC,Non-reproducing,Adult,Male,36.2,1,8.9,2.63,4.5,0,3.99,,,,,mean = 14.65; stdev = 0.16
MYLU55,Myotis lucifugus,27/09/2017,LCC,Non-reproducing,Young of the Year,Male,26.1,2,7.7,2.08,4.93,0,4.54,,,,,mean = 14.65; stdev = 0.16
MYLU56,Myotis lucifugus,27/09/2017,LCC,Non-reproducing,Young of the Year,Male,35.9,1,7.6,1.5,4.68,0,4.2,,,,,mean = 14.65; stdev = 0.16
MYLU57,Myotis lucifugus,27/09/2017,LCC,Non-reproducing,Adult,Male,37.3,1,9.3,3.16,5.16,0.01,4.53,,,,,mean = 14.65; stdev = 0.16
MYLU58,Myotis lucifugus,27/09/2017,LCC,Non-reproducing,Adult,Male,36.3,1,9,2.18,4.54,0.15,4.12,,,,,mean = 14.65; stdev = 0.16
MYLU59,Myotis lucifugus,27/09/2017,LCC,Non-reproducing,Adult,Male,35.6,1,7.7,2.19,4.83,0.14,4.27,,,,,mean = 14.65; stdev = 0.16
MYLU60,Myotis lucifugus,27/09/2017,LCC,Scrotal,Adult,Male,36.9,1,8.6,2.19,4.64,0,4.64,,,,,mean = 14.65; stdev = 0.16
MYLU61,Myotis lucifugus,28/09/2017,LCC,Scrotal,Adult,Male,37.5,1,8.6,2.14,4.44,0,0.31,,,,,mean = 14.58; stdev = 0.11
MYLU62,Myotis lucifugus,28/09/2017,LCC,Scrotal,Adult,Male,36.4,1,9.4,2.81,5.66,0,4.76,,,,,mean = 14.58; stdev = 0.11
MYLU63,Myotis lucifugus,28/09/2017,LCC,Scrotal,Adult,Male,38.4,1,7,1.41,4.06,0.04,3.3,,,,,mean = 14.58; stdev = 0.11
MYLU64,Myotis lucifugus,28/09/2017,LCC,Non-reproducing,Adult,Male,37.3,1,9,2.41,4.5,0,2.95,,,,,mean = 14.58; stdev = 0.11
MYLU65,Myotis lucifugus,28/09/2017,LCC,Scrotal,Adult,Male,35.5,1,8,2.21,4.88,0.2,3.11,,,,,mean = 14.58; stdev = 0.11
MYLU66,Myotis lucifugus,28/09/2017,LCC,Scrotal,Adult,Male,38.5,1,8.8,1.89,3.89,0,3.24,,,,,mean = 14.58; stdev = 0.11
PESU21,Perimyotis subflavus,28/01/2017,SLL,Non-reproducing,Adult,Male,32.9,1,5.7,1.48,3.41,0,3.87,,,,,Suspect; low signal
PESU22,Perimyotis subflavus,28/01/2017,SLL,Non-reproducing,Adult,Female,34.9,1,6.2,1.84,3.33,0.27,2.58,,,,,Suspect; low signal
PESU23,Perimyotis subflavus,28/01/2017,SLL,Non-reproducing,Adult,Female,33.9,1,5.3,0.95,3.59,0,0,,,,,Suspect; low signal
PESU24,Perimyotis subflavus,28/01/2017,SLL,Non-reproducing,Adult,Female,37.5,2,5.8,1.35,3.11,0.77,2.92,,,,,Suspect; low signal
PESU25,Perimyotis subflavus,28/01/2017,SLL,Non-reproducing,Adult,Female,34,1,6.2,1.66,3.64,0,3.14,,,,,Suspect; low signal
PESU26,Perimyotis subflavus,28/01/2017,SLL,Non-reproducing,Adult,Female,34.7,1,7,1.86,3.24,0,2.56,,,,,Suspect; low signal
PESU27,Perimyotis subflavus,28/01/2017,SLL,Non-reproducing,Adult,Female,34.8,1,6,2.56,3.55,0.495,3.055,,,,,Suspect; low signal
PESU28,Perimyotis subflavus,28/01/2017,SLL,Non-reproducing,Adult,Male,35.6,1,5.4,1.49,2.54,0.81,2.22,,,,,Suspect; low signal
PESU29,Perimyotis subflavus,28/01/2017,SLL,Non-reproducing,Adult,Female,33.1,1,5.4,1.46,2.48,3.92,2.76,,,,,Suspect; low signal
PESU30,Perimyotis subflavus,28/01/2017,SLL,Non-reproducing,Adult,Male,34.8,0,5.4,1.18,2.94,0.3,1.5,,,,,Suspect; low signal
PESU31,Perimyotis subflavus,28/01/2017,SLL,Non-reproducing,Adult,Male,33.4,1,5.2,1.23,3.63,0,3,,,,,Suspect; low signal
COTO1,Corynorhinus townsendii,7/02/2017,DOX,Non-reproducing,Adult,Male,44.2,0,8.3,0.82,2.58,0,2.72,0.54,2.66,0.05,2.66,
COTO2,Corynorhinus townsendii,7/02/2017,DOX,Non-reproducing,Adult,Female,42.4,1,9.7,1.04,3.91,0,3.68,0.84,3.34,0,2.85,
MYLU67,Myotis lucifugus,28/09/2017,LCC,Non-reproducing,Adult,Male,38.4,1,8,2.12,3.93,0.14,3.14,,,,,mean = 14.58; stdev = 0.11
MYLU68,Myotis lucifugus,28/09/2017,LCC,Scrotal,Adult,Male,38.2,1,9.6,3.24,5.39,0,4.54,,,,,mean = 14.58; stdev = 0.11
MYLU69,Myotis lucifugus,28/09/2017,LCC,Scrotal,Adult,Male,35.6,1,8,2.4,4.82,0.03,4.24,,,,,mean = 14.58; stdev = 0.11
MYLU70,Myotis lucifugus,28/09/2017,LCC,Scrotal,Adult,Male,37.2,1,7.1,1.78,3.65,0,3.12,,,,,mean = 14.58; stdev = 0.11
MYLU71,Myotis lucifugus,28/09/2017,LCC,Scrotal,Adult,Male,37.2,1,8.2,2.45,5.02,0.49,4.39,,,,,mean = 14.58; stdev = 0.11
MYLU72,Myotis lucifugus,28/09/2017,LCC,Scrotal,Adult,Male,37.2,1,7.2,1.95,4.41,0.07,4.02,,,,,mean = 14.58; stdev = 0.11
MYLU73,Myotis lucifugus,28/09/2017,LCC,Scrotal,Adult,Male,38.2,1,8.1,2.04,4.11,0,3.5,,,,,mean = 14.58; stdev = 0.11
MYLU74,Myotis lucifugus,28/09/2017,LCC,Non-reproducing,Adult,Male,36.8,1,8.9,2.83,5.21,0.2,4.71,,,,,mean = 14.58; stdev = 0.11
MYLU75,Myotis lucifugus,28/09/2017,LCC,Scrotal,Adult,Male,36.7,1,8.7,1.62,3.22,0,2.57,,,,,mean = 14.58; stdev = 0.11
MYLU76,Myotis lucifugus,28/09/2017,LCC,Scrotal,Adult,Male,39.2,1,9.6,2.69,6.01,0.37,4.82,,,,,mean = 14.58; stdev = 0.11
PESU32,Perimyotis subflavus,30/10/2017,SLL,Non-reproducing,Adult,Male,34.3,2,6.1,1.55,2.79,0.15,2.93,,,,,mean = 14.56; stdev = 0.023
PESU33,Perimyotis subflavus,30/10/2017,SLL,Non-reproducing,Adult,Male,33.7,1,6.4,1.67,3.28,0,2.93,,,,,mean = 14.56; stdev = 0.023
PESU34,Perimyotis subflavus,30/10/2017,SLL,Non-reproducing,Adult,Female,33.1,1,7.3,2.3,3.59,0,3,2.11,3.19,0,2.98,mean = 14.56; stdev = 0.023
PESU35,Perimyotis subflavus,30/10/2017,SLL,Non-reproducing,Adult,Female,35.3,1,7.8,2.38,3.5,0.03,3.14,2.22,3.12,0.01,2.91,mean = 14.56; stdev = 0.023
PESU36,Perimyotis subflavus,30/10/2017,SLL,Non-reproducing,Adult,Female,34.5,1,7.6,1.92,3.43,0,3.61,1.92,3.52,0,2.99,mean = 14.56; stdev = 0.023
PESU37,Perimyotis subflavus,30/10/2017,SLL,Scrotal,Adult,Male,34.3,0,7.1,1.89,3.41,0.06,2.4,,,,,mean = 14.56; stdev = 0.023
PESU38,Perimyotis subflavus,30/10/2017,SLL,Non-reproducing,Adult,Male,34,2,6.9,1.88,3.64,0.25,3.22,,,,,mean = 14.56; stdev = 0.023
PESU39,Perimyotis subflavus,30/10/2017,SLL,Scrotal,Adult,Male,34.3,0,6.3,1.76,3.35,0,2.99,,,,,mean = 14.56; stdev = 0.023
PESU40,Perimyotis subflavus,30/10/2017,SLL,Scrotal,Adult,Male,33.3,0,7.3,2.11,3.51,0.02,3.03,1.68,3.23,0.26,3.04,mean = 14.56; stdev = 0.023
PESU41,Perimyotis subflavus,30/10/2017,SLL,Non-reproducing,Adult,Female,35.3,1,7.8,2.43,3.23,0,3.12,1.61,3.17,0,2.82,mean = 14.56; stdev = 0.023
PESU42,Perimyotis subflavus,30/10/2017,SLL,Non-reproducing,Adult,Female,33.4,1,7,2.09,3,0,2.75,,,,,mean = 14.56; stdev = 0.023
PESU43,Perimyotis subflavus,30/10/2017,SLL,Non-reproducing,Adult,Male,34.6,1,6.8,1.79,3.54,0,3.39,,,,,mean = 14.56; stdev = 0.023
PESU44,Perimyotis subflavus,30/10/2017,SLL,Non-reproducing,Adult,Male,33.5,2,6.4,1.85,2.85,0.14,2.93,,,,,mean = 14.56; stdev = 0.023
PESU45,Perimyotis subflavus,30/10/2017,SLL,Scrotal,Adult,Male,35.1,2,7.2,2.06,3.51,0,3.39,,,,,mean = 14.56; stdev = 0.023
PESU46,Perimyotis subflavus,30/10/2017,SLL,Non-reproducing,Adult,Female,33.2,1,6.5,1.58,3.21,0.07,3.57,,,,,mean = 14.56; stdev = 0.023
PESU47,Perimyotis subflavus,30/10/2017,SLL,Scrotal,Adult,Male,33.2,2,6.5,1.57,3.05,0.08,3.05,,,,,mean = 14.56; stdev = 0.023
PESU48,Perimyotis subflavus,30/10/2017,SLL,Scrotal,Adult,Male,34.3,1,7.7,2.63,3.23,0,2.87,2.31,2.7,0.1,2.16,mean = 14.56; stdev = 0.023
PESU49,Perimyotis subflavus,30/10/2017,SLL,Non-reproducing,Adult,Female,34,1,7.4,2.14,3.68,0,3.46,,,,,mean = 14.56; stdev = 0.023
PESU50,Perimyotis subflavus,30/10/2017,SLL,Non-reproducing,Adult,Female,32.8,0,7.2,2.14,3.57,0.19,3.59,1.72,3.14,0.21,2.99,mean = 14.56; stdev = 0.023
PESU51,Perimyotis subflavus,30/10/2017,SLL,Non-reproducing,Adult,Female,34.9,1,7.4,1.5,0.93,0,1.55,,,,,mean = 14.56; stdev = 0.023
PESU52,Perimyotis subflavus,30/10/2017,SLL,Non-reproducing,Adult,Female,34.5,1,7.2,2.25,3.36,0,3,,,,,mean = 14.56; stdev = 0.023
PESU53,Perimyotis subflavus,30/10/2017,SLL,Non-reproducing,Adult,Female,35.1,1,7.5,2.31,2.96,0,3.14,2.17,2.99,0.16,2.55,mean = 14.56; stdev = 0.023
PESU54,Perimyotis subflavus,30/10/2017,SLL,Non-reproducing,Adult,Male,33.5,1,7.1,2.19,3.53,0.07,3.02,2.08,2.72,0.04,2.33,mean = 14.56; stdev = 0.023
MYLU77,Myotis lucifugus,28/09/2017,LCC,Scrotal,Adult,Male,37,3,7.2,1.51,4.01,0,3.77,,,,,mean = 14.58; stdev = 0.11
MYLU78,Myotis lucifugus,28/09/2017,LCC,Scrotal,Adult,Male,38.5,0,8.2,2.77,4.59,0,3.64,,,,,mean = 14.58; stdev = 0.11
MYLU79,Myotis lucifugus,28/09/2017,LCC,Scrotal,Adult,Male,38.1,0,8.1,1.72,4.33,0.1,4.17,,,,,mean = 14.58; stdev = 0.11
MYLU80,Myotis lucifugus,28/09/2017,LCC,Scrotal,Adult,Male,37.8,1,10.5,3.88,5.53,0,4.74,,,,,mean = 14.58; stdev = 0.11
MYLU81,Myotis lucifugus,28/09/2017,LCC,Non-reproducing,Adult,Male,38.6,1,8.1,2.2,4.14,0.17,3.44,,,,,mean = 14.58; stdev = 0.11
MYLU82,Myotis lucifugus,28/09/2017,LCC,Scrotal,Adult,Male,38.2,1,9.8,3.28,5.64,0.04,5.11,,,,,mean = 14.58; stdev = 0.11
MYLU83,Myotis lucifugus,28/09/2017,LCC,Scrotal,Adult,Male,36.9,1,9.5,2.92,4.5,0,4.5,,,,,mean = 14.58; stdev = 0.11
MYLU84,Myotis lucifugus,28/09/2017,LCC,Non-reproducing,Adult,Male,37.1,2,8.2,2.43,5.25,0,4.34,,,,,mean = 14.58; stdev = 0.11
MYLU93,Myotis lucifugus,19/09/2017,LCC,Scrotal,Adult,Male,38.1,1,9.5,0.33,5.03,0.32,4.68,,,,,mean = 14.65; stdev = 0.15
MYVO6,Myotis volans,18/09/2017,LCC,Non-reproducing,Adult,Male,39,1,8.9,1.54,5.77,0,5.32,,,,,mean= 14.6; stdev = 0.11
MYVO7,Myotis volans,18/09/2017,LCC,Non-reproducing,Adult,Male,38.1,1,8.8,1.09,4.24,0,3.28,,,,,mean= 14.6; stdev = 0.11
MYVO8,Myotis volans,18/09/2017,LCC,Non-reproducing,Adult,Male,38.1,1,7.9,1.22,3.68,0,3.89,,,,,mean= 14.6; stdev = 0.11
MYVO9,Myotis volans,18/09/2017,LCC,Scrotal,Adult,Male,38.5,1,5.7,0.51,5.53,0,4.9,,,,,mean= 14.6; stdev = 0.11
MYVO10,Myotis volans,18/09/2017,LCC,Non-reproducing,Adult,Male,39.4,1,7.6,0.96,5.33,0.53,4.5,,,,,mean= 14.6; stdev = 0.11
MYVO11,Myotis volans,18/09/2017,LCC,Non-reproducing,Adult,Male,39.3,1,8.2,0.85,4.26,0,3.65,,,,,mean= 14.6; stdev = 0.11
MYVO12,Myotis volans,18/09/2017,LCC,Non-reproducing,Adult,Male,37.6,1,7.8,1.54,3.81,0,2.59,,,,,mean= 14.6; stdev = 0.11
MYVO13,Myotis volans,18/09/2017,LCC,Non-reproducing,Adult,Male,38.9,1,7.6,1.02,5.47,0,0,,,,,mean= 14.6; stdev = 0.11
MYVO14,Myotis volans,18/09/2017,LCC,Scrotal,Adult,Male,40.2,1,9.3,1.64,2.77,0.345,1.97,,,,,mean= 14.6; stdev = 0.11
MYVO15,Myotis volans,18/09/2017,LCC,Scrotal,Adult,Male,38.2,1,8.6,1.25,3.685,0.07,3.21,,,,,mean= 14.6; stdev = 0.11
MYVO16,Myotis volans,18/09/2017,LCC,Scrotal,Adult,Male,34.4,1,8.7,2.25,5.22,0.03,4.9,,,,,mean= 14.6; stdev = 0.11
MYVO17,Myotis volans,18/09/2017,LCC,Non-reproducing,Adult,Male,40,1,8.5,1.06,5.89,0,5.25,,,,,mean= 14.6; stdev = 0.11
MYVO18,Myotis volans,18/09/2017,LCC,Non-reproducing,Adult,Male,38.3,1,8,0.765,3.3,0,2.13,,,,,mean= 14.6; stdev = 0.11
MYVO19,Myotis volans,18/09/2017,LCC,Scrotal,Adult,Male,39.4,1,10,2.17,4.1625,0.1925,5.4575,,,,,mean= 14.6; stdev = 0.11
MYVO20,Myotis volans,18/09/2017,LCC,Scrotal,Adult,Male,37.2,1,8.1,1.22,4.32,0.065,1.585,,,,,mean= 14.6; stdev = 0.11
MYVO22,Myotis volans,18/09/2017,LCC,Scrotal,Adult,Male,39.2,1,8.5,1.17,4.19,0.27,3.24,,,,,mean= 14.6; stdev = 0.11
MYVO32,Myotis volans,27/09/2017,LCC,Scrotal,Adult,Male,39.3,1,8.5,1.48,4.53,0,3.47,,,,,mean = 14.65; stdev = 0.16
MYVO33,Myotis volans,27/09/2017,LCC,Non-reproducing,Adult,Male,38.1,1,8.4,1.73,5.71,0.17,5.08,,,,,mean = 14.65; stdev = 0.16
MYVO34,Myotis volans,27/09/2017,LCC,Scrotal,Adult,Male,39,1,9.6,2.18,6.3,0.03,5.32,,,,,mean = 14.65; stdev = 0.16
MYVO35,Myotis volans,27/09/2017,LCC,Scrotal,Adult,Male,40.4,1,9.4,2.27,6.16,0,5.3,,,,,mean = 14.65; stdev = 0.16
MYVO36,Myotis volans,27/09/2017,LCC,Scrotal,Adult,Male,37.1,0,8.4,1.82,5.72,0.01,5.39,,,,,mean = 14.65; stdev = 0.16
MYVO37,Myotis volans,27/09/2017,LCC,Scrotal,Adult,Male,39.5,2,8.9,1.78,4.99,0.13,3.71,,,,,mean = 14.65; stdev = 0.16
MYVO38,Myotis volans,27/09/2017,LCC,Scrotal,Adult,Male,39.4,1,10,3.33,5.76,0,5.26,,,,,mean = 14.65; stdev = 0.16
MYVO39,Myotis volans,27/09/2017,LCC,Scrotal,Adult,Male,38,1,7.6,1.27,4.12,0.21,3.33,,,,,mean = 14.65; stdev = 0.16
MYVO40,Myotis volans,27/09/2017,LCC,Scrotal,Adult,Male,39.9,1,9,1.66,4.06,0.1,3.22,,,,,mean = 14.65; stdev = 0.16
MYVO41,Myotis volans,27/09/2017,LCC,Non-reproducing,Young of the Year,Male,37.3,1,6.3,0.99,4.58,0.1,4.18,,,,,mean = 14.65; stdev = 0.16
MYVO42,Myotis volans,27/09/2017,LCC,Scrotal,Adult,Male,38.6,1,8.6,1.82,4.69,0.13,4.2,,,,,mean = 14.65; stdev = 0.16
